idx,mode,lexicon_id,relation,confidence
0,name_only,LEX-001,equivalent,0.95
1,name_only,LEX-002,equivalent,0.95
2,name_only,LEX-004,equivalent,0.95
3,name_only,LEX-003,equivalent,0.95
4,name_only,LEX-002,equivalent,0.75
5,name_only,LEX-007,equivalent,0.9
6,name_only,LEX-006,equivalent,0.85
7,name_only,LEX-008,equivalent,0.85
8,name_only,LEX-009,equivalent,0.97
9,name_only,LEX-010,equivalent,0.97
10,name_only,LEX-011,equivalent,0.95
11,name_only,LEX-012,equivalent,0.95
12,name_only,LEX-004,subsumed_by,0.62
13,name_only,LEX-001,subsumed_by,0.75
14,name_only,LEX-004,subsumed_by,0.6
15,name_only,LEX-001,subsumed_by,0.65
16,name_only,LEX-004,subsumed_by,0.7
17,name_only,LEX-004,subsumed_by,0.6
18,name_only,LEX-004,subsumed_by,0.55
19,name_only,LEX-001,subsumed_by,0.62
20,name_only,LEX-004,subsumed_by,0.6
21,name_only,LEX-009,equivalent,0.95
22,name_only,LEX-001,equivalent,0.9
23,name_only,LEX-007,equivalent,0.65
24,name_only,LEX-004,equivalent,0.97
25,name_only,LEX-006,equivalent,0.95
26,name_only,LEX-007,equivalent,0.72
27,name_only,LEX-007,equivalent,0.95
28,name_only,LEX-008,equivalent,0.75
29,name_only,LEX-008,equivalent,0.95
30,name_only,LEX-008,equivalent,0.95
31,name_only,LEX-009,equivalent,0.9
32,name_only,LEX-005,equivalent,0.95
33,name_only,LEX-005,equivalent,0.95
34,name_only,LEX-012,equivalent,0.98
35,name_only,LEX-011,equivalent,0.85
36,name_only,LEX-007,equivalent,0.62
37,name_only,NONE,none,0.85
38,name_only,LEX-004,equivalent,0.95
0,definition_based,LEX-001,equivalent,0.83
1,definition_based,LEX-002,subsumes,0.72
2,definition_based,LEX-004,equivalent,0.9
3,definition_based,LEX-003,equivalent,0.62
4,definition_based,NONE,none,0.62
5,definition_based,LEX-002,subsumed_by,0.45
6,definition_based,LEX-006,subsumed_by,0.4
7,definition_based,LEX-008,equivalent,0.72
8,definition_based,NONE,none,0.75
9,definition_based,LEX-010,equivalent,0.87
10,definition_based,LEX-011,equivalent,0.9
11,definition_based,LEX-012,equivalent,0.92
12,definition_based,NONE,none,0.85
13,definition_based,LEX-001,subsumed_by,0.4
14,definition_based,LEX-004,subsumed_by,0.55
15,definition_based,LEX-001,equivalent,0.62
16,definition_based,LEX-004,subsumed_by,0.55
17,definition_based,LEX-004,subsumed_by,0.5
18,definition_based,NONE,none,0.6
19,definition_based,NONE,none,0.95
20,definition_based,NONE,none,0.95
21,definition_based,LEX-009,equivalent,0.72
22,definition_based,LEX-001,equivalent,0.75
23,definition_based,LEX-002,equivalent,0.75
24,definition_based,LEX-004,equivalent,0.9
25,definition_based,LEX-006,equivalent,0.83
26,definition_based,LEX-003,equivalent,0.78
27,definition_based,LEX-002,subsumed_by,0.45
28,definition_based,LEX-008,equivalent,0.75
29,definition_based,LEX-008,equivalent,0.75
30,definition_based,LEX-008,equivalent,0.62
31,definition_based,LEX-009,subsumed_by,0.62
32,definition_based,LEX-005,subsumed_by,0.55
33,definition_based,LEX-005,equivalent,0.7
34,definition_based,LEX-012,equivalent,0.97
35,definition_based,NONE,none,0.7
36,definition_based,LEX-003,equivalent,0.75
37,definition_based,NONE,none,0.95
38,definition_based,LEX-004,equivalent,0.75
